Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
E,Spo0A+,yocH,BSU19210,0,1.2,2.7,2.5,2.9,2.9,0.9,2.5,0.4,0.2,-0.7,-0.2
E,Spo0A+,yppD,BSU22280,0,0.5,5.2,3.4,3.1,3,2.4,3.2,3.3,-0.3,-0.3,-0.1
E,Spo0A+,yppE,BSU22270,0,0,3.4,2.3,2,1.9,1.4,2.3,2.2,0.8,0.5,1.7
E,Spo0A+,yqcF,BSU25870,0,-0.6,0.6,-0.5,-0.8,-1.5,-2.2,-1.3,-1.9,-0.9,-1.1,-1.3
E,Spo0A+,yqcG,BSU25860,0,0.2,1.6,0.4,0.2,-0.3,-1.5,-0.7,-1.7,-0.4,-0.1,-0.5
E,Spo0A+,yqxI,BSU25890,0,-0.9,1.2,-0.3,-0.9,-2.1,-3.1,-3,-4.2,-3.1,-3,-2.7
E,Spo0A+,yqxJ,BSU25880,0,-0.5,1.5,-0.1,-0.6,-1.8,-2.8,-2.4,-3.3,-2.7,-2.8,-2.4
E,Spo0A+,yttP,BSU29630,0,0.1,5.5,4.5,4.6,3.8,3.7,4.1,4.2,-0.5,-0.5,-0.6
E,Spo0A+,yusD,BSU32760,0,0.7,2.6,1.5,1.5,1,0.5,0.6,0.5,-0.4,-0.5,-0.5
E,Spo0A+,yusE,BSU32770,0,0.9,1,0.7,0.6,0.9,1.1,0.9,1.4,0,0,0.2
E,Spo0A+,yxbD,BSU39870,0,3.5,3,2.1,1.6,0.6,-0.8,-0.4,-0.9,-1.1,-0.6,-0.8
E,Spo0A+,yybN,BSU40580,0,0.5,0,-1.4,-1.6,-2.5,-3.8,-3.3,-4.7,-0.7,-0.5,-1.2
F,Spo0A-,abrB,BSU00370,0,-0.3,-2.2,-3.1,-3.4,-3.7,-4,-4.2,-4.5,-0.9,-2,0
F,Spo0A-,cheA,BSU16430,0,-0.5,-2.1,-3.6,-4.2,-4.8,-4.9,-5.4,-5.6,-2.5,-1.8,-2.4
F,Spo0A-,cheB,BSU16420,0,-0.5,-2.2,-3.8,-4.4,-4.8,-5,-5.3,-5.4,-2.4,-1.7,-2.3
